0,3,17:00:00,7,19,3.6,1080,31.49,3.51,30.1,2.12,High,Low
0,3,18:00:00,6,20,3.72,1140,35.55,3.96,27.49,2.56,High,Low
0,3,19:00:00,3,16.5,3.3,960,31.83,3.01,25.81,2.8,Medium,Low
0,3,20:00:00,3,15.625,2.5,840,25.57,3.74,27.87,3.16,Medium,High
0,3,21:00:00,2,14.75,3.3,780,27.5,2.5,20,0.42,Medium,Low
0,3,22:00:00,2,20,1.9,906,32.77,1.69,37.29,4.52,High,High
0,3,23:00:00,1,17.5,2,890,26.37,4.4,30.77,7.69,High,High
0,4,00:00:00,1,14.25,2,660,30.51,6.78,30.51,3.39,Medium,High
0,4,01:00:00,1,18.25,2.92,916.5,15.38,3.85,30.77,3.85,High,Low
0,4,02:00:00,1,13.25,3.5,730,10.34,6.9,6.9,3.45,Medium,Low
0,4,03:00:00,1,22.125,5.66,1020,31.25,20.83,12.5,2.08,High,Low
0,4,04:00:00,1,34.5,11.85,1241,40.7,22.09,8.14,0,High,Low
0,4,05:00:00,1,35.875,13.4,1290.5,43.18,25.76,9.09,3.03,High,Low
0,4,06:00:00,2,29.45,8.46,1260,47.44,23.5,14.96,1.71,High,Low
0,4,07:00:00,4,23.25,7,1270,40.42,9.68,12.52,0.76,High,Low
0,4,08:00:00,7,21,6.3,1260,30.12,5.38,19.37,1.12,High,Low
0,4,09:00:00,8,21.25,6.5,1200,29.74,5.55,19.39,1.33,High,Low
0,4,10:00:00,8,20,5.03,1020,28.04,3.63,20.63,1.29,High,Low
0,4,11:00:00,9,20.775,6.3,1020,31.08,5.23,19.15,1.84,High,Low
0,4,12:00:00,10,21.25,6.06,1020,29.26,4.77,21.47,1.19,High,Low
0,4,13:00:00,10,21,6.125,973.5,28.69,5.24,21.72,2,High,Low
0,4,14:00:00,10,21,5.925,1020,31.22,5.11,20.65,1.24,High,Low
0,4,15:00:00,10,21.25,4.95,1023,31.85,5.1,24.77,1.42,High,Low
0,4,16:00:00,9,20.5,4.8,1140,31.46,5.54,24.34,1.35,High,Low
0,4,17:00:00,8,20,4.3,1140,33.75,4.53,26.91,1.42,High,Low
0,4,18:00:00,5,21.25,4.4,1140,33.51,3.9,28.67,3.23,High,Low
0,4,19:00:00,3,18,3.3,990,30.88,3.8,24.47,2.61,High,Low
0,4,20:00:00,2,14.5,2.6,840,32.04,2.27,23.62,0.97,Medium,High
0,4,21:00:00,2,15.725,2.765,791.5,24.63,2.99,25.37,2.24,Medium,Low
0,4,22:00:00,2,21,2.3,900,34.36,2.56,32.31,3.59,High,High
0,4,23:00:00,1,16.25,2.4,780,21.51,3.23,32.26,3.23,Medium,High
0,5,00:00:00,1,14.75,2.7,660,17.54,0,26.32,3.51,Medium,Low
0,5,01:00:00,1,19.5,3.75,758,23.08,2.56,17.95,2.56,High,Low
0,5,02:00:00,1,14,3.6,740,14.81,11.11,29.63,0,Medium,Low
0,5,03:00:00,1,15,3.2,831.5,25,7.69,19.23,0,Medium,Low
0,5,04:00:00,1,31.25,9.24,1191,43.93,22.43,8.41,0.93,High,Low
0,5,05:00:00,2,35.375,11.04,1320,43.29,22.56,12.8,0,High,Low
0,5,06:00:00,2,30.3,8.4,1374,44.24,22.68,13.38,1.49,High,Low
0,5,07:00:00,4,23.05,7.185,1229,34.94,9.41,10.46,1.05,High,Low
0,5,08:00:00,7,20.5,6.4,1211,30.14,5.32,19.6,1.06,High,Low
0,5,09:00:00,8,20,4.79,1080,29.4,3.12,24.01,0.67,High,Low
0,5,10:00:00,8,19.25,4,968,26.91,5,21.11,1.53,High,Low
0,5,11:00:00,9,20.5,5.88,994,29.14,5.78,18.44,2.17,High,Low
0,5,12:00:00,10,21.5,6.29,1019,31.43,5.57,18.4,2.69,High,Low
0,5,13:00:00,10,21.5,6.1,1080,32.07,6.03,20.2,1.76,High,Low
0,5,14:00:00,10,21.25,5.86,1080,31.36,5.37,20.76,1.91,High,Low
0,5,15:00:00,9,20.25,5.1,1084,30.82,5.95,21.78,2.56,High,Low
0,5,16:00:00,9,18.5,3.57,1062,29.67,4.04,28.76,1.07,High,High
0,5,17:00:00,8,19,3.6,1080,31.69,3.41,30.15,1.62,High,High
0,5,18:00:00,6,18,3.13,1033,32.21,3.73,28.94,1.87,High,High
0,5,19:00:00,4,15.5,2.9,949.5,26.74,4.34,27.6,2.78,Medium,High
0,5,20:00:00,3,14,2.7,840,21.2,2.24,25.19,1.25,Medium,High
0,5,21:00:00,2,13.75,2.715,780,26.47,2.94,21.57,1.96,Medium,High
0,5,22:00:00,2,18.06,2.93,844,33.56,3.77,27.05,3.08,High,High
0,5,23:00:00,2,17.5,3.3,900,28.64,4.02,33.17,3.02,High,High
0,6,00:00:00,1,16.5,3.305,840,25,2.17,26.09,2.17,Medium,Low
0,6,01:00:00,1,17.5,3.415,741,27.78,3.7,29.63,1.85,High,Low
0,6,02:00:00,1,13.75,2.6,600,18.64,1.69,27.12,1.69,Medium,High
0,6,03:00:00,1,14.575,3.085,601.5,16.67,14.29,14.29,0,Medium,Low
0,6,04:00:00,1,33.5,9.02,1200,32.89,21.05,14.47,0,High,Low
0,6,05:00:00,1,29.75,8.7,1260,36.19,21.9,7.62,0.95,High,Low
0,6,06:00:00,2,25.25,8.3,1077,41.08,19.46,7.03,0.54,High,Low
0,6,07:00:00,2,24,7.55,965.5,35.6,16.4,18,4,High,Low
0,6,08:00:00,3,21.675,6.845,960,28.83,11.04,11.96,2.45,High,Low
0,6,09:00:00,4,18.125,4.28,840,27.16,6.38,19.75,1.85,High,Low
0,6,10:00:00,5,16.375,3.62,866,30.58,8.1,22.48,1.53,Medium,Low
0,6,11:00:00,5,21.3,6.4,1020,27.11,4.54,17.77,1.04,High,Low
0,6,12:00:00,7,22.75,6.93,1014,36.19,4.14,16.24,1.24,High,Low
0,6,13:00:00,7,22.42,6.3,1028,34.76,4.38,22.32,1.12,High,Low
0,6,14:00:00,6,21.25,5.8,1080,32.33,4.68,25.08,1,High,Low
0,6,15:00:00,6,20,4.7,1017,28.91,3.7,23.54,1.19,High,Low
0,6,16:00:00,6,21.825,5.915,1030,35.28,5.06,22.13,1.8,High,Low
0,6,17:00:00,6,23,6.005,1093.5,35.04,4.22,26.21,2.69,High,Low
0,6,18:00:00,5,22.75,6,1140,30.05,4.31,23.73,1.69,High,Low
0,6,19:00:00,3,20,4.5,1020,23.52,4.62,24.4,2.2,High,Low
0,6,20:00:00,2,17.1,3.04,960,25.26,1.05,27.02,2.11,Medium,High
0,6,21:00:00,2,13.625,2.3,784,22.31,2.48,25.62,1.24,Medium,High
0,6,22:00:00,2,21.375,2.7,900,38.21,0.81,27.64,2.44,High,High
0,6,23:00:00,2,19,3.66,912,25.25,3.03,21.72,3.03,High,Low
0,7,00:00:00,1,20.7,5.085,840,33.9,3.39,17.8,0.85,High,Low
0,7,01:00:00,1,15.25,2.16,720,19.4,2.99,25.37,2.99,Medium,High
0,7,02:00:00,1,12.75,2.4,660,15.22,2.17,26.09,6.52,Medium,High
0,7,03:00:00,1,12.25,2.38,660,18.52,12.96,31.48,0,Medium,High
0,7,04:00:00,1,17.5,4.53,840,22.81,5.26,28.07,1.75,High,Low
0,7,05:00:00,1,29.9,8.235,1152,43,23,18,2,High,Low
0,7,06:00:00,2,35.125,8.94,1230,39.16,32.53,9.64,1.2,High,Low
0,7,07:00:00,2,27.1,8.19,1140,38.43,22.71,9.17,3.06,High,Low
0,7,08:00:00,2,20.625,5.38,900,31.21,15.77,14.43,0.67,High,Low
0,7,09:00:00,3,15.5,3.7,780,28.76,7.42,17.53,1.35,Medium,Low
0,7,10:00:00,5,15.5,3.6,840,21.56,7.19,21.56,0.46,Medium,Low
0,7,11:00:00,5,20.55,6.1,913.5,30.14,7.57,14.86,0.81,High,Low
0,7,12:00:00,5,23,7,978.5,35.83,6.68,14.04,0.53,High,Low
0,7,13:00:00,6,23.75,7.07,1022.5,36.39,7.59,15.42,2.17,High,Low
0,7,14:00:00,6,23.75,7.1,1020,37.78,5.86,16.71,1.37,High,Low
0,7,15:00:00,5,23.5,7.35,1080,35.27,7.4,16.64,2.11,High,Low
0,7,16:00:00,5,23.75,7.1,1080,36.44,6.07,19.16,1.08,High,Low
0,7,17:00:00,5,24.45,7.2,1080,36.74,6.4,21.04,2.9,High,Low
0,7,18:00:00,3,23.35,6.7,1080,32.05,5.42,23.25,1.81,High,Low
0,7,19:00:00,2,20.5,3.69,959.5,26.12,10.07,29.1,5.22,High,Low
0,7,20:00:00,2,16.75,3,924,27.5,3.5,27.5,3,Medium,High
0,7,21:00:00,1,15.5,3.07,869.5,23.61,2.08,23.61,0,Medium,High
0,7,22:00:00,1,20.5,3.84,900,39.58,3.47,20.14,1.39,High,Low
0,7,23:00:00,1,16,2.7,780,16.13,4.3,24.73,2.15,Medium,Low
1,1,00:00:00,5,8.25,1.5,420,12.04,0.77,17.75,6.79,Medium,High
1,1,01:00:00,5,8.25,1.55,420,14.1,0.64,15.26,4.87,Medium,High
1,1,02:00:00,7,8.5,1.56,420,12.85,0.63,19.64,3.97,Medium,High
1,1,03:00:00,7,9.25,1.8,450,16.29,0.68,15.71,2.63,Medium,High
1,1,04:00:00,7,9.5,1.71,480,18.68,0.56,20.82,4.09,Medium,High
1,1,05:00:00,5,11.75,1.8,600,22.97,4.22,24.42,5.09,Medium,High
1,1,06:00:00,4,16.655,3.395,900,27.72,3.33,15.61,3.86,Medium,Low
1,1,07:00:00,7,15,3.3,1005,20.92,3.11,22.34,7.63,Medium,High
1,1,08:00:00,7,14,3.5,1020,33.82,2.59,24.59,9.02,Medium,High
1,1,09:00:00,6,14,3.21,916,30.81,4.11,20.86,12.22,Medium,High
1,1,10:00:00,5,13.625,2.545,846.5,24.61,5.39,23.95,10.92,Medium,High
1,1,11:00:00,5,13,2.42,810,23.37,5.92,26.86,11.53,Medium,High
1,1,12:00:00,5,13.25,2.7,831,20.1,3.67,23.92,11,Medium,High
